COD_MUNICIPIO,MUNICIPIO,DEPARTAMENTO,AÑO,TIPO_DELITO,CANTIDAD,LONGITUD,LATITUD,CASOS_AÑO_ANT,CASOS_2_AÑOS_ANT,PROM_3_AÑOS,TENDENCIA_PCT,AÑOS_HISTORIAL,TOTAL_MUNICIPIO,PROP_TIPO_DELITO,RIESGO_TARGET
68001,Bucaramanga (CT),SANTANDER,2011,DELITO_SEXUAL,332,"-73,132562","7,11647",293.0,375.0,312.5,13.310580204778155,2,1863,17.82,2
68522,Palmar,SANTANDER,2011,DELITO_SEXUAL,1,"-73,29109","6,537789",2.0,2.0,1.5,-50.0,2,1,100.0,0
68377,La Belleza,SANTANDER,2011,DELITO_SEXUAL,5,"-73,965494","5,85925",4.0,2.5,4.5,25.0,2,8,62.5,1
68081,Barrancabermeja,SANTANDER,2011,DELITO_SEXUAL,48,"-73,849243","7,064857",78.0,78.0,63.0,-38.46153846153846,2,333,14.41,2
68324,Guavatá,SANTANDER,2011,DELITO_SEXUAL,6,"-73,700906","5,954348",5.0,3.0,5.5,19.999999999999996,2,14,42.86,2
68720,Santa Helena del Opón,SANTANDER,2011,DELITO_SEXUAL,3,"-73,616716","6,339565",3.0,3.0,3.0,0.0,2,3,100.0,1
68745,Simacota,SANTANDER,2011,DELITO_SEXUAL,9,"-73,337368","6,443469",2.0,5.0,5.5,350.0,2,17,52.94,2
68861,Vélez,SANTANDER,2011,DELITO_SEXUAL,8,"-73,672447","6,009275",8.0,11.0,8.0,0.0,2,50,16.0,2
68549,Pinchote,SANTANDER,2011,DELITO_SEXUAL,3,"-73,174209","6,531552",1.0,2.5,2.0,200.0,2,7,42.86,1
68320,Guadalupe,SANTANDER,2011,DELITO_SEXUAL,3,"-73,419292","6,245847",7.0,5.0,5.0,-57.14285714285714,2,20,15.0,1
68572,Puente Nacional,SANTANDER,2011,DELITO_SEXUAL,13,"-73,677567","5,878381",2.0,7.0,7.5,550.0,2,44,29.55,2
68322,Guapotá,SANTANDER,2011,DELITO_SEXUAL,5,"-73,320732","6,308635",2.0,2.0,3.5,150.0,2,6,83.33,1
68689,San Vicente de Chucurí,SANTANDER,2011,DELITO_SEXUAL,21,"-73,411024","6,880383",8.0,9.0,14.5,162.5,2,52,40.38,2
68755,Socorro,SANTANDER,2011,DELITO_SEXUAL,20,"-73,261198","6,46387",12.0,21.0,16.0,66.66666666666667,2,72,27.78,2
68092,Betulia,SANTANDER,2011,DELITO_SEXUAL,4,"-73,283669","6,899525",2.0,3.0,3.0,100.0,2,9,44.44,1
68547,Piedecuesta,SANTANDER,2011,DELITO_SEXUAL,70,"-73,054795","6,997245",63.0,94.0,66.5,11.111111111111116,2,269,26.02,2
68770,Suaita,SANTANDER,2011,DELITO_SEXUAL,2,"-73,44165","6,101329",3.0,2.0,2.5,-33.333333333333336,2,7,28.57,1
68855,Valle de San José,SANTANDER,2011,DELITO_SEXUAL,3,"-73,143507","6,448028",2.0,3.5,2.5,50.0,2,15,20.0,1
68655,Sabana de Torres,SANTANDER,2011,DELITO_SEXUAL,11,"-73,49906","7,391919",21.0,26.0,16.0,-47.61904761904761,2,36,30.56,2
68679,San Gil,SANTANDER,2011,DELITO_SEXUAL,47,"-73,134776","6,551952",38.0,41.0,42.5,23.684210526315795,2,183,25.68,2
68162,Cerrito,SANTANDER,2011,DELITO_SEXUAL,3,"-72,694851","6,840405",3.0,3.5,3.0,0.0,2,5,60.0,1
68397,La Paz,SANTANDER,2011,DELITO_SEXUAL,1,"-73,58959","6,178509",3.0,3.0,2.0,-66.66666666666667,2,2,50.0,0
68500,Oiba,SANTANDER,2011,DELITO_SEXUAL,7,"-73,299791","6,26521",10.0,10.0,8.5,-30.000000000000004,2,20,35.0,2
68573,Puerto Parra,SANTANDER,2011,DELITO_SEXUAL,1,"-74,056129","6,650785",1.0,4.0,1.0,0.0,2,1,100.0,0
68271,Florián,SANTANDER,2011,DELITO_SEXUAL,3,"-73,97143","5,804659",2.0,2.0,2.5,50.0,2,23,13.04,1
68276,Floridablanca,SANTANDER,2011,DELITO_SEXUAL,151,"-73,099104","7,072329",131.0,152.0,141.0,15.267175572519086,2,625,24.16,2
68498,Ocamonte,SANTANDER,2011,DELITO_SEXUAL,1,"-73,122563","6,339988",7.0,2.0,4.0,-85.71428571428572,2,13,7.69,0
